rn,xid_player,n,id_player,name_player
12875,d0201935,2,,
12877,d0201935,2,,
12879,d0201935,2,,
12881,d0201935,2,,
12883,d0201935,2,,
12885,d0201935,2,,
12886,d0201935,2,,
12889,d0201935,2,,
12891,d0201935,2,,
12893,d0201935,2,,
12896,d0201935,2,,
12897,d0201935,2,,
17918,d0002772,2,,
17920,d0002772,2,,
17922,d0002772,2,,
17924,d0002772,2,,
17926,d0002772,2,,
17927,d0002772,2,,
17929,d0002772,2,,
17931,d0002772,2,,
17933,d0002772,2,,
17935,d0002772,2,,
17937,d0002772,2,,
17940,d0002772,2,,
17942,d0002772,2,,
17944,d0002772,2,,
17946,d0002772,2,,
17948,d0002772,2,,
43265,d0203084,2,,
43267,d0203084,2,,
43270,d0203084,2,,
43272,d0203084,2,,
43274,d0203084,2,,
43277,d0203084,2,,
43279,d0203084,2,,
43281,d0203084,2,,
43283,d0203084,2,,
43287,d0203084,2,,
197008,d0202355,2,,
197010,d0202355,2,,
197012,d0202355,2,,
197013,d0202355,2,,
197015,d0202355,2,,
197017,d0202355,2,,
197019,d0202355,2,,
197021,d0202355,2,,
197022,d0204020,2,,
197023,d0202355,2,,
197025,d0204020,2,,
197027,d1628389,2,,
197029,d1628389,2,,
197030,d1628389,2,,
197032,d1628389,2,,
