id_team,team_name,id_player,gp_calc_total,poss_calc_o,poss_calc_d,poss_calc_total,mp_calc_o,mp_calc_d,mp_calc_total,pts_calc_o,pts_calc_d,pts_o_per100_calc,pm_calc,gp_summary_nbastatr,pts_summary_nbastatr
1610612744,Warriors,2844824,603,41773,42303,84076,8282.5,9123.73333333333,17406.2333333333,41540,37172,874.812454296424,4368,82,9016
1610612761,Raptors,4769000,593,36892,36597,73489,8186.3,7891.61666666667,16077.9166666667,35008,32888,934.312469664316,2120,82,8527
1610612766,Hornets,2946091,613,36984,37056,74040,8311.96666666667,8007.73333333333,16319.7,34938,33343,848.657573410442,1595,82,7721
1610612760,Thunder,1725153,694,44290,44521,88811,9409.78333333333,9551.43333333333,18961.2166666667,41052,39764,833.485862025368,1288,82,8524
1610612742,Mavericks,2642239,535,31746,32369,64115,7044.51666666667,6906.6,13951.1166666667,30387,29382,759.749885438153,1005,82,8628
1610612762,Jazz,1421804,589,35074,35194,70268,7697.88333333333,7674.06666666667,15371.95,32292,31370,733.941251259585,922,82,7801
1610612738,Celtics,2842344,475,30623,30271,60894,6622.7,6592.18333333333,13214.8833333333,28014,27420,632.155716196184,594,82,8312
1610612748,Heat,4675975,702,39599,39607,79206,8755.98333333333,8497.61666666667,17253.6,36230,35736,1005.30049045265,494,82,7764
1610612759,Spurs,1210753,523,34723,34731,69454,7561.85,7463.28333333333,15025.1333333333,32271,31832,650.522031309402,439,82,8461
1610612739,Cavaliers,3148690,613,35933,35481,71414,8104.51666666667,7718.38333333333,15822.9,33050,32634,822.131928921953,416,82,8457
1610612746,Clippers,4668009,659,38249,38180,76429,8001.8,8350.53333333333,16352.3333333333,35275,34889,926.280100164021,386,82,8751
1610612763,Grizzlies,1820082,554,30950,30970,61920,6798.85,6726.38333333333,13525.2333333333,28494,28128,825.595638152669,366,82,8062
1610612755,76ers,912570,361,19792,20027,39819,4213.7,4303.31666666667,8517.01666666667,18303,17982,459.377514451174,321,82,7542
1610612752,Knicks,4674067,632,32844,32697,65541,7216.8,7043.36666666667,14260.1666666667,30153,30039,825.29093603163,114,82,7535
1610612747,Lakers,1014497,413,27779,27297,55076,5868.2,5869.15,11737.35,25280,25226,626.183343071648,54,82,8073
1610612764,Wizards,4775888,647,39702,39844,79546,8277.78333333333,8743.1,17020.8833333333,36514,36478,1046.97546171164,36,82,8080
1610612743,Nuggets,3045370,617,38140,37825,75965,8081.7,8190,16271.7,34893,34872,728.366303711594,21,82,8320
1610612757,Trail Blazers,1828840,606,37592,37347,74939,7978.9,7898.4,15877.3,34599,34591,826.133370863076,8,82,8429
1610612745,Rockets,1625148,685,46818,46824,93642,9879.58333333333,10135.0333333333,20014.6166666667,43087,43081,1011.48268696794,6,82,8522
1610612753,Magic,4672733,591,30205,30085,60290,6636.83333333333,6514.03333333333,13150.8666666667,27606,27742,819.866666008932,-136,82,7847
1610612737,Hawks,2643428,465,21275,21500,42775,4554.26666666667,4592.56666666667,9146.83333333333,19060,19323,624.989201603279,-263,82,8409
1610612758,Kings,2438479,394,20517,20411,40928,4361.36666666667,4356.98333333333,8718.35,18746,19012,548.974443749472,-266,82,8310
1610612765,Pistons,3354225,724,42728,42186,84914,9262.53333333333,9121.06666666667,18383.6,38576,38934,989.953359999744,-358,82,8077
1610612749,Bucks,4770290,601,37795,37777,75572,8108.85,8191.16666666667,16300.0166666667,34255,34641,893.973119048578,-386,82,8023
1610612756,Suns,4070192,451,26891,26811,53702,5619.83333333333,5751.38333333333,11371.2166666667,24606,25169,736.121687964311,-563,82,8397
1610612751,Nets,6501895,527,28301,27941,56242,6091.78333333333,5975.6,12067.3833333333,25484,26138,967.97112719354,-654,82,8038
1610612754,Pacers,3247185,609,36839,37085,73924,7978.85,7939.75,15918.6,33511,34278,817.253880088468,-767,82,7981
1610612741,Bulls,5691209,443,22510,22627,45137,4876.75,4902.1,9778.85,20445,21257,637.31025161599,-812,82,8265
1610612750,Timberwolves,4874240,765,49950,50427,100377,10788.3333333333,10834.6333333333,21622.9666666667,45505,46523,996.70705649711,-1018,82,8016
1610612740,Pelicans,3657871,711,38931,38904,77835,8342.18333333334,8368.25,16710.4333333333,35065,36421,995.036635706924,-1356,82,8147
,"",60907855,8638,340880,341430,682310,73691.1,73374.5333333333,147065.633333333,307306,315280,18734.3227408738,-7974,,
